,daily_position,art_id,art_name,album_name,song_id,song_name,popularity,date
0,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,12-Dec-2020
1,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,32,12-Dec-2020
2,3,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,12-Dec-2020
3,4,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,12-Dec-2020
4,5,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),12,12-Dec-2020
5,6,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,32,12-Dec-2020
6,7,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,12-Dec-2020
7,8,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,12-Dec-2020
8,9,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,23,12-Dec-2020
9,10,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,12-Dec-2020
10,11,3y6SKYXXP4lrliD6CzVXH3,Sugar Candy Mountain,666,324MRo4QQa2yJO0jUQ7u38,Who I Am,28,12-Dec-2020
11,12,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,12-Dec-2020
12,13,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,34,12-Dec-2020
13,14,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Dummy,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,60,12-Dec-2020
14,15,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,12-Dec-2020
15,16,0elA30wLp3RmiPaGtU2jhQ,Mississippi Fred McDowell,Good Morning Little School Girl,2LtpyfWWnr5V96l3Js7LLX,Good Morning Little Schoolgirl,41,12-Dec-2020
16,17,0PTJ848ulShbjTx2yqaAlb,Newen Afrobeat,Newen Afrobeat,7HxE2QgolluyPnxJj4LH7B,Rojo Carmín,34,12-Dec-2020
17,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,12-Dec-2020
18,19,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,12-Dec-2020
19,20,3u1ulLq00Y3bfmq9FfjsPu,Ween,The Mollusk,3VdaHDwoSEnu3ahDahD0Ci,Waving My Dick in the Wind,46,12-Dec-2020
