,art_id,art_name,followers,genre,popularity,album_count,first_release,query_date
0,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,12611,garage punk blues,11,18,1998,2021-01-18
1,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,19169,alternative emo,32,11,2011-09-06,2021-01-18
2,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,10985,retro metal,12,9,2007-01-01,2021-01-18
3,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,6114,None,37,11,2005,2021-01-18
4,692VvGTch5OLXj4zEE6H3y,Radio Moscow,126706,blues rock,32,16,2008-01-29,2021-01-18
5,5yC8tl2VVpS4HO758L0lSc,Cayetana,30488,bubblegrunge,24,11,2014,2021-01-18
6,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,161253,indie rock,53,19,2012-12-07,2021-01-18
7,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,48311,indie punk,33,20,2012-05-24,2021-01-18
8,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,1044295,folk,45,20,1982-02-01,2021-01-18
9,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,3016036,glam metal,65,20,1981,2021-01-18
10,3y6SKYXXP4lrliD6CzVXH3,Sugar Candy Mountain,66690,bay area indie,28,17,2014-01-31,2021-01-18
11,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,12314,tejano,16,20,2010-05-18,2021-01-18
12,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,80247,classic rock,53,20,1969,2021-01-18
13,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,341780,east coast hip hop,39,20,1987-01-01,2021-01-18
14,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,72660,alternative country,50,20,1991-08-01,2021-01-18
15,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,9659394,album rock,34,20,2012-11-06,2021-01-18
16,6liAMWkVf5LH7YR9yfFy1Y,Portishead,1322369,chamber psych,60,20,1994-01-01,2021-01-18
17,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,1114748,urbano espanol,88,20,2017-10-05,2021-01-18
18,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,77586,australian garage punk,53,14,1987,2021-01-18
19,3Oim8XBPbznAa8Jj8QzNc8,Cults,253732,alternative dance,38,20,2011-05-23,2021-01-18
20,4FJPplt1JOVw8Q7NiwFmLv,Friend Within,30532,deep groove house,47,20,2018-01-26,2021-01-18
21,574PYry9WzUvHwvtxmKKSW,Antarctigo Vespucci,16275,alternative emo,34,12,2014-04-08,2021-01-18
22,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,622399,bedroom pop,55,20,2018-04-24,2021-01-18
23,1Hs5RG6WIwUSJLxRYWaOW6,Great Grandpa,25692,bubblegrunge,36,13,2016-02-17,2021-01-18
24,4pdoRs7yHNXakMobf8M9Oz,SASAMI,26594,bubblegrunge,36,11,2018-10-09,2021-01-18
25,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,1689295,alternative metal,50,20,2000,2021-01-18
26,5n9jfCRA7AFY1JfYc5ZYK5,Becca Mancari,12745,indie folk,32,13,2017-07-21,2021-01-18
27,46fSG0TzqmL5OYqZpjh6pq,Mr. Bizz,1066,ambient dub techno,23,20,2010-07-30,2021-01-18
28,0bbPxPcaed3Td8DqCxBmBP,Monolithic,3214,japanese house,27,17,2017-05-31,2021-01-18
29,3DuG56Wukk4WUH80GyVGED,Andrea Marino,376,None,32,7,2019-04-01,2021-01-18
30,0uCCBpmg6MrPb1KY2msceF,Burial,301380,bass music,35,20,2006,2021-01-18
31,19zqV9DV3txjMUjHvltl2D,Motion City Soundtrack,269928,emo,33,20,2003-06-24,2021-01-18
32,5Igpc9iLZ3YGtKeYfSrrOE,Chris Lake,180727,bass house,51,20,2010-12-06,2021-01-18
33,64mPnRMMeudAet0E62ypkx,Primus,736048,alternative metal,33,20,1996-01-23,2021-01-18
34,0uI2HyW0eIbTbyH3S2XDHI,King Tuff,72011,freak folk,41,10,2008-10-07,2021-01-18
35,4xfA60YoR4UbBxuOn9WXJq,A*S*Y*S,13783,dark techno,44,20,2012-04-12,2021-01-18
36,3OOEKzLNBzkeQWCKun4UXe,Francis Inferno Orchestra,5876,deep soul house,37,20,2010-07-06,2021-01-18
37,1AMMMSq3rJdZtFGnBXEkz7,King Tubby,77529,dub,31,20,2017-05-05,2021-01-18
38,2TOcbvWbyh2rWEKBdCwpUS,Makam,1833,None,29,20,2009-02-09,2021-01-18
39,1VBflYyxBhnDc9uVib98rw,Icona Pop,658323,candy pop,68,20,2012-01-01,2021-01-18
40,0IK6TvlarNMoBZ7KdyjZIf,MC Chris,47752,comic,18,20,2005-01-01,2021-01-18
41,7Hr9bE0u9Rl5n6QahVNRnc,Shiba San,91385,bass house,41,20,2017-06-30,2021-01-18
42,0gztzLIt9uRDJd4Jl9TSLY,Jansons,3144,uk tech house,41,20,2017-06-09,2021-01-18
43,0x9HCT7ZZlOEfLSVCDi5SO,SLIFT,24052,french garage rock,17,14,2017-05-04,2021-01-18
44,04tBaW21jyUfeP5iqiKBVq,Scott Walker,94142,art pop,47,20,1967,2021-01-18
45,4admDxmnri5Zco0xYrJ0ji,Jamie Jones,171334,deep disco house,55,20,2007,2021-01-18
46,2u3rmzZC0psTER2sDfUebm,Never Dull,5133,None,34,20,2017-10-04,2021-01-18
47,3iqOjs2iwL6ywtcENg1ppm,Acid Dad,10797,neo-psychedelic,25,8,2016-02-26,2021-01-18
48,4VIQa9l1HW6VPhR9IdJS8C,L.A. WITCH,26714,chamber psych,36,14,2016-05-06,2021-01-18
49,5bhOQZFgsHOuAiJ0WJXNHW,Cool Ghouls,9155,bay area indie,29,13,2013-04-23,2021-01-18
50,0L4nRBwqdugqIWCpAzjB9g,Daniel Ash,15961,gothic rock,35,20,1990-09-05,2021-01-18
51,03r4iKL2g2442PT9n2UKsx,Beastie Boys,1835830,alternative rock,45,20,1986-11-15,2021-01-18
52,5CYAFhywQTXdZmppCp0ukd,Claude VonStroke,98468,bass house,42,20,2006-05-08,2021-01-22
53,0Zy4ncr8h1jd7Nzr9946fD,Killing Joke,201181,alternative rock,55,20,2005-01-01,2021-01-22
54,4FCzCS0KEgb0rgySWINItO,CID,73610,bass house,47,20,2020-08-14,2021-01-22
